period_nm,duty,ring_w_um,mod_amp,n_petals,R_c_m,PASS,max_lateral_m,max_tilt_deg,spin_drift_frac,obj
2456.904309988022,0.7928525600582361,6.649598374962807,0.27406741213053465,6,64.38891486153105,False,37.57735867015764,405.2092414814897,0.0,61.397234520458774
2796.150127053261,0.3608992194756866,2.2890261709690094,0.11664624745026231,4,13.693850786074469,False,27.782824775124155,501.6056318616582,0.0,65.59546583901258
1692.3237517476082,0.20202357415109873,30.157471761107445,0.094736082945019,3,14.674290881752745,False,91.54073129198979,155.178885521731,0.0,66.37385038105631
2021.7350527644157,0.5173438491299749,35.41461054980755,0.1976218675263226,4,504.8559277143306,False,24.797513293376205,571.7961628111772,0.0,70.95601255521561
1954.616491496563,0.6324969902634621,28.890526175498962,0.26448541041463614,0,49.921852074784006,False,15.773976972503885,659.4651159592745,0.0,74.70983213620738
1911.9051292538643,0.371547843515873,17.5594113022089,0.24602661794051528,4,10.697530347894276,False,18.63572514177607,679.1299619418321,0.0,78.26617682850325
2738.8910353183746,0.6245100473985077,43.27040968835354,0.3772324398159981,2,24.861023884944892,False,19.18305154164235,677.7126522628428,0.0,78.42851608275224
1889.6471589803696,0.6886207833886148,40.707812801003456,0.026728342287242413,2,11.906491215948188,False,14.290934223064674,795.9486473569998,0.0,87.53427263740258
2134.7810238599777,0.7615131678059699,47.59586498141289,0.46859188051894307,6,11.36050338394492,False,1.743944634764235,1545.376228156696,0.0,100.96885813042458
2401.5741139650345,0.23115432597696783,39.00561559200287,0.23204811057075858,0,10.167054985474039,False,3.440351621307001,1972.2160200964022,0.0,101.91130645628166
2224.4173645973206,0.4056734122335911,45.95359940826893,0.1718814568594098,4,20.58014264406252,False,4.257474008008946,1952.6015931257616,0.0,102.36526333778275
2063.3043006062508,0.4786111416295171,22.935056656599045,0.31191358901560307,3,11.791484276868605,False,6.317669719216752,1595.7096504674985,0.0,103.50981651067598
2179.9335718154907,0.27073003668338064,10.763283655047417,0.04192223213613033,2,41.71446007581285,False,8.024459164485908,1326.4120645999274,0.0,104.45803286915884
2659.5866069197655,0.3038953041657806,14.106215342879295,0.34665660420432687,6,27.03134015917443,False,9.801928714849394,1169.4282539322815,0.0,105.44551595269411
